DID_id,src_nm,src_id,drug_raw_name,cas_cas_no,cas_pt,cas_source,cas_match,chebi_pt,chebi_id,chebi_cas_no,chebi_match,chebi_syn,chebi_syn_match,chebi_match_aid,chemid_pt,chemid_display_name,chemid_id,chemi_match,chemid_syn,chemid_syn_match,chemid_match_aid,ctd_pt,ctd_mesh_id,ctd_cas_no,ctd_match,ctd_syn,ctd_syn_match,ctd_match_aid,umls_pt,umls_cui,umls_match,umls_syn,umls_syn_match,umls_match_aid,umls_sem_typ1,umls_sem_typ2,umls_sem_typ3,umls_sem_typ4,ind_raw,ind_agg,_ind_search,ind_raw_value,ind_raw_target,ind_raw_match,ind_umls_entry_term_match,ind_umls_entry_term,ind_umls_pt,und_umls_cuii,ind_umls_term_typ,ind_umls_pheno_flg,ind_umls_sem_typ1,ind_umls_sem_typ2,ind_umls_sem_typ3,ind_umls_sem_typ4,ind_umls_in_term_match,ind_umls_in_term,ind_umls_in_pt,ind_umls_in_cui,ind_umls_in_term_typ,ind_umls_in_sem_typ1,ind_umls_in_sem_typ2,ind_umls_in_sem_typ3,ind_umls_in_sem_typ4
1_000011,ChEBI,,organochlorine insecticide,,,,,organochlorine insecticide,25705,,exact,,,,,,,,,,,,,,,,,,Organochlorine Insecticide,C0021579,exact,,,,A1.4.1.1.5_Hazardous or Poisonous Substance,A1.4.1.2.1_Organic Chemical,,,cide,,#VALUE!,insecticide,insecticide,Y,quasi syn therclass-to-disease,Infestation By Insect,Infestation By Insect,C0277344,P,Y,B2.2.1.2.1_Disease or Syndrome,,,,exact 1,insecticide,Insecticides,C0021576,S,A1.4.1.1.5_Hazardous or Poisonous Substance,,,
1_000012,ChEBI,,organochlorine pesticide,,,,,organochlorine pesticide,38656,,exact,,,,,,,,,,,,,,,,,,Organochlorine Pesticide,C0392143,exact,,,,A1.4.1.1.5_Hazardous or Poisonous Substance,A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,pesticide,pesticide,Y,quasi syn therclass-to-function,Pesticide Interaction,Pesticide Interaction,C0597202,P,Y,B2.2.1.1.4_Molecular Function,,,,exact 1,pesticide,Pesticides,C0031253,S,A1.4.1.1.5_Hazardous or Poisonous Substance,,,
1_000013,MeSH_PA,C546060,hydrated silica gel-based toothpaste,112926-00-8,Hydrated silica,ChemID+,NT app,,,,,,,,Hydrated silica,,112926-00-8,NT app,,,,hydrated silica gel-based toothpaste,C546060,,exact,,,,Hydrated Silica Gel-Based Toothpaste,C2974024,exact,,,,A1.4.1.1.2_Biomedical or Dental Material,,,,,,#VALUE!,Cosmetics,Cosmetics,Y,exact (CUI-based),Cosmetics,Cosmetics,C0010164,P,,A1.3_Manufactured Object,,,,,,,,,,,,
1_000014,MeSH_PA,C546060,hydrated silica gel-based toothpaste,112926-00-8,Hydrated silica,ChemID+,NT app,,,,,,,,Hydrated silica,,112926-00-8,NT app,,,,hydrated silica gel-based toothpaste,C546060,,exact,,,,Hydrated Silica Gel-Based Toothpaste,C2974024,exact,,,,A1.4.1.1.2_Biomedical or Dental Material,,,,,,#VALUE!,Dentifrices,Dentifrices,Y,quasi syn therclass-to-disease,Tooth Diseases,Tooth Diseases,C0040435,P,Y,B2.2.1.2.1_Disease or Syndrome,,,,exact (CUI-based),Dentifrices,Dentifrices,C0011427,P,A1.4.1.1.2_Biomedical or Dental Material,,,
1_000015,MeSH_PA,D019422,Dietary Sucrose,,,,,,,,,,,,Dietary Sucrose,,D019422000,exact,,,,Dietary Sucrose,D019422,,exact,,,,Dietary Sucrose,C0376597,exact,,,,A1.4.1.2.1.8_Carbohydrate,A1.4.3_Food,,,,,#VALUE!,Flavoring Agents,Flavoring Agents,Y,quasi syn therclass-to-function,Flavor Perception,Flavor Perception,C0699771,P,Y,B2.2.1.1.2_Organ or Tissue Function,,,,exact (CUI-based),flavoring agents,Flavoring,C0475332,S,A1.4_Substance,,,
1_000016,MeSH_PA,D019422,Dietary Sucrose,,,,,,,,,,,,Dietary Sucrose,,D019422000,exact,,,,Dietary Sucrose,D019422,,exact,,,,Dietary Sucrose,C0376597,exact,,,,A1.4.1.2.1.8_Carbohydrate,A1.4.3_Food,,,,,#VALUE!,Food Additives,Food Additives,Y,exact (CUI-based),Food Additives,Food Additives,C0016453,P,,A1.4.3_Food,,,,,,,,,,,,
1_000017,MeSH_PA,D019422,Dietary Sucrose,,,,,,,,,,,,Dietary Sucrose,,D019422000,exact,,,,Dietary Sucrose,D019422,,exact,,,,Dietary Sucrose,C0376597,exact,,,,A1.4.1.2.1.8_Carbohydrate,A1.4.3_Food,,,,,#VALUE!,Sweetening Agents,Sweetening Agents,Y,quasi syn therclass-to-function,Sweet Taste Perception,Sweet Taste Perception,C1154613,P,Y,B2.2.1.1.1_Organism Function,,,,exact (CUI-based),Sweetening Agents,Sweetening Agents,C0038998,P,A1.4.1.1_Chemical Viewed Functionally,,,
1_000018,MeSH_PA,C003438,thiazolidine-4-carboxylic acid,444-27-9,Timonacic,ChemID+,<syn per source>,thioproline,64564,444-27-9,<syn per source>,Thiazolidine-4-carboxylic acid,exact,,Timonacic,Timonacic [INN],444-27-9,<syn per source>,Thiazolidine-4-carboxylic acid,exact,,thiazolidine-4-carboxylic acid,C003438,444-27-9,exact,,,,Thiazolidine-4-Carboxylic Acid,C0076425,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Antidotes,Antidotes,Y,quasi syn therclass-to-disease,Poisoning,Poisoning,C0032343,P,Y,B2.3_Injury or Poisoning,,,,exact (CUI-based),Antidotes,Antidotes,C0003295,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000019,MeSH_PA,C003438,thiazolidine-4-carboxylic acid,444-27-9,Timonacic,ChemID+,<syn per source>,thioproline,64564,444-27-9,<syn per source>,Thiazolidine-4-carboxylic acid,exact,,Timonacic,Timonacic [INN],444-27-9,<syn per source>,Thiazolidine-4-carboxylic acid,exact,,thiazolidine-4-carboxylic acid,C003438,444-27-9,exact,,,,Thiazolidine-4-Carboxylic Acid,C0076425,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,anti,,#VALUE!,Antineoplastic Agents,Antineoplastic Agents,Y,quasi syn therclass-to-disease,Malignant Neoplasms,Malignant Neoplasms,C0006826,P,Y,B2.2.1.2.1.2_Neoplastic Process,,,,exact (CUI-based),Antineoplastic Agents,Antineoplastic Agents,C0003392,P,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,
1_000020,MeSH_PA,C003438,thiazolidine-4-carboxylic acid,444-27-9,Timonacic,ChemID+,<syn per source>,thioproline,64564,444-27-9,<syn per source>,Thiazolidine-4-carboxylic acid,exact,,Timonacic,Timonacic [INN],444-27-9,<syn per source>,Thiazolidine-4-carboxylic acid,exact,,thiazolidine-4-carboxylic acid,C003438,444-27-9,exact,,,,Thiazolidine-4-Carboxylic Acid,C0076425,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,anti,,#VALUE!,Antioxidants,Antioxidants,Y,quasi syn therclass-to-disease,Free Radical Oxidation Of Tissue,Free Radical Oxidation Of Tissue,C0599059,P,Y,B2.2.1.2.2_Cell or Molecular Dysfunction,,,,exact (CUI-based),Antioxidants,Antioxidants,C0003402,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000021,MeSH_PA,C003438,thiazolidine-4-carboxylic acid,444-27-9,Timonacic,ChemID+,<syn per source>,thioproline,64564,444-27-9,<syn per source>,Thiazolidine-4-carboxylic acid,exact,,Timonacic,Timonacic [INN],444-27-9,<syn per source>,Thiazolidine-4-carboxylic acid,exact,,thiazolidine-4-carboxylic acid,C003438,444-27-9,exact,,,,Thiazolidine-4-Carboxylic Acid,C0076425,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Cardiovascular Agents,Cardiovascular Agents,Y,quasi syn therclass-to-disease,Cardiovascular Diseases,Cardiovascular Diseases,C0007222,P,Y,B2.2.1.2.1_Disease or Syndrome,,,,exact (CUI-based),Cardiovascular Agents,Cardiovascular Agents,C0007220,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000022,MeSH_PA,C003438,thiazolidine-4-carboxylic acid,444-27-9,Timonacic,ChemID+,<syn per source>,thioproline,64564,444-27-9,<syn per source>,Thiazolidine-4-carboxylic acid,exact,,Timonacic,Timonacic [INN],444-27-9,<syn per source>,Thiazolidine-4-carboxylic acid,exact,,thiazolidine-4-carboxylic acid,C003438,444-27-9,exact,,,,Thiazolidine-4-Carboxylic Acid,C0076425,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,causes,,#VALUE!,Protective Agents,Protective Agents,Y,quasi syn therclass-to-function,Protective Drug Effect,Protective Drug Effect,C0678771,P,Y,B2.2.1_Biologic Function,,,,exact (CUI-based),Protective Agents,Protective Agents,C0033613,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000023,MeSH_PA,C002041,"1,5-difluoro-2,4-dinitrobenzene",327-92-4,"1,5-Difluoro-2,4-dinitrobenzene",ChemID+,exact,,,,,,,,"1,5-Difluoro-2,4-dinitrobenzene",,327-92-4,exact,,,,"1,5-difluoro-2,4-dinitrobenzene",C002041,327-92-4,exact,,,,"1,5-Difluoro-2,4-Dinitrobenzene",C0044034,exact,,,,"A1.4.1.1.4_Indicator, Reagent, or Diagnostic Aid",A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Cross-Linking Reagents,Cross-Linking Reagents,Y,exact (CUI-based),Cross-Linking Reagents,Cross-Linking Reagents,C0010360,P,,"A1.4.1.1.4_Indicator, Reagent, or Diagnostic Aid",,,,,,,,,,,,
1_000024,MeSH_PA,C002041,"1,5-difluoro-2,4-dinitrobenzene",327-92-4,"1,5-Difluoro-2,4-dinitrobenzene",ChemID+,exact,,,,,,,,"1,5-Difluoro-2,4-dinitrobenzene",,327-92-4,exact,,,,"1,5-difluoro-2,4-dinitrobenzene",C002041,327-92-4,exact,,,,"1,5-Difluoro-2,4-Dinitrobenzene",C0044034,exact,,,,"A1.4.1.1.4_Indicator, Reagent, or Diagnostic Aid",A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Indicators and Reagents,Indicators and Reagents,Y,exact (CUI-based),Indicators And Reagents,Indicators And Reagents,C0021213,P,,"A1.4.1.1.4_Indicator, Reagent, or Diagnostic Aid",,,,,,,,,,,,
1_000025,MeSH_PA,C017367,1-hexylcarbamoyl-5-fluorouracil,61422-45-5,Carmofur,ChemID+,<syn per source>,,,,,,,,Carmofur,Carmofur [INN:JAN],61422-45-5,<syn per source>,1-Hexylcarbamoyl-5-fluorouracil,exact,,1-hexylcarbamoyl-5-fluorouracil,C017367,61422-45-5,exact,,,,1-Hexylcarbamoyl-5-Fluorouracil,C0044401,exact,,,,A1.4.1.1.1_Pharmacologic Substance,"A1.4.1.2.1.5_Nucleic Acid, Nucleoside, or Nucleotide",,,anti,,#VALUE!,Antineoplastic Agents,Antineoplastic Agents,Y,quasi syn therclass-to-disease,Malignant Neoplasms,Malignant Neoplasms,C0006826,P,Y,B2.2.1.2.1.2_Neoplastic Process,,,,exact (CUI-based),Antineoplastic Agents,Antineoplastic Agents,C0003392,P,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,
1_000026,MeSH_PA,C014211,"2,3,7,8-tetrachlorodibenzofuran",51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran",ChemID+,exact,"2,3,7,8-Tetrachlorodibenzofuran",81507,,exact,,,,"2,3,7,8-Tetrachlorodibenzofuran",,51207-31-9,exact,,,,"2,3,7,8-tetrachlorodibenzofuran",C014211,51207-31-9,exact,,,,"2,3,7,8-Tetrachlorodibenzofuran",C0045334,exact,,,,A1.4.1.1.5_Hazardous or Poisonous Substance,A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Environmental Pollutants,Environmental Pollutants,Y,quasi syn therclass-to-function,Pollutant Interaction,Pollutant Interaction,C0597263,P,Y,B2.2.1.1.4_Molecular Function,,,,exact (CUI-based),Environmental Pollutants,Environmental Pollutants,C0014417,P,A1.4.1.1.5_Hazardous or Poisonous Substance,,,
1_000027,MeSH_PA,C027717,"2,3-naphthalenedicarboxaldehyde",7149-49-7,"2,3-Naphthalenedicarboxaldehyde",ChemID+,exact,,,,,,,,"2,3-Naphthalenedicarboxaldehyde",,7149-49-7,exact,,,,"2,3-naphthalenedicarboxaldehyde",C027717,7149-49-7,exact,,,,"2,3-Naphthalenedicarboxaldehyde",C0045407,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Indicators and Reagents,Indicators and Reagents,Y,exact (CUI-based),Indicators And Reagents,Indicators And Reagents,C0021213,P,,"A1.4.1.1.4_Indicator, Reagent, or Diagnostic Aid",,,,,,,,,,,,
1_000028,MeSH_PA,C029262,"2,3-piperidinedicarboxylic acid",46026-75-9,"2,3-Piperidinedicarboxylic acid",ChemID+,exact,,,,,,,,"2,3-Piperidinedicarboxylic acid",,46026-75-9,exact,,,,"2,3-piperidinedicarboxylic acid",C029262,46026-75-9,exact,,,,"2,3-Piperidinedicarboxylic Acid",C0045412,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,anti,,#VALUE!,Anticonvulsants,Anticonvulsants,Y,quasi syn therclass-to-disease,Convulsions,Convulsions,C0009951,P,Y,A2.2.2_Sign or Symptom,,,,exact (CUI-based),Anticonvulsants,Anticonvulsants,C0003286,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000029,MeSH_PA,C029262,"2,3-piperidinedicarboxylic acid",46026-75-9,"2,3-Piperidinedicarboxylic acid",ChemID+,exact,,,,,,,,"2,3-Piperidinedicarboxylic acid",,46026-75-9,exact,,,,"2,3-piperidinedicarboxylic acid",C029262,46026-75-9,exact,,,,"2,3-Piperidinedicarboxylic Acid",C0045412,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Central Nervous System Agents,Central Nervous System Agents,Y,quasi syn therclass-to-disease,Cns Disorder,Cns Disorder,C0007682,P,Y,B2.2.1.2.1_Disease or Syndrome,,,,exact (CUI-based),Central Nervous System Agents,Central Nervous System Agents,C0007680,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000030,MeSH_PA,C029262,"2,3-piperidinedicarboxylic acid",46026-75-9,"2,3-Piperidinedicarboxylic acid",ChemID+,exact,,,,,,,,"2,3-Piperidinedicarboxylic acid",,46026-75-9,exact,,,,"2,3-piperidinedicarboxylic acid",C029262,46026-75-9,exact,,,,"2,3-Piperidinedicarboxylic Acid",C0045412,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Excitatory Amino Acid Agents,Excitatory Amino Acid Agents,Y,NT + quasi syn therclass-to-function,Excitatory Synaptic Transmission,Excitatory Synaptic Transmission,C0234107,P,Y,B2.2.1.1.2_Organ or Tissue Function,,,,exact (CUI-based),Excitatory Amino Acid Agents,Excitatory Amino Acid Agents,C0242900,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000031,MeSH_PA,C029262,"2,3-piperidinedicarboxylic acid",46026-75-9,"2,3-Piperidinedicarboxylic acid",ChemID+,exact,,,,,,,,"2,3-Piperidinedicarboxylic acid",,46026-75-9,exact,,,,"2,3-piperidinedicarboxylic acid",C029262,46026-75-9,exact,,,,"2,3-Piperidinedicarboxylic Acid",C0045412,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,antagonist,antagonist,#VALUE!,Excitatory Amino Acid Antagonists,Excitatory Amino Acid Antagonists,Y,NT + quasi syn therclass-to-function,Excitatory Synaptic Transmission,Excitatory Synaptic Transmission,C0234107,P,Y,B2.2.1.1.2_Organ or Tissue Function,,,,exact (CUI-based),Excitatory Amino Acid Antagonists,Excitatory Amino Acid Antagonists,C0242910,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000032,MeSH_PA,C029262,"2,3-piperidinedicarboxylic acid",46026-75-9,"2,3-Piperidinedicarboxylic acid",ChemID+,exact,,,,,,,,"2,3-Piperidinedicarboxylic acid",,46026-75-9,exact,,,,"2,3-piperidinedicarboxylic acid",C029262,46026-75-9,exact,,,,"2,3-Piperidinedicarboxylic Acid",C0045412,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Neurotransmitter Agents,Neurotransmitter Agents,Y,quasi syn therclass-to-function,neurotransmission,Synaptic Transmission,C0027793,S,Y,B2.2.1.1.3_Cell Function,,,,exact (CUI-based),Neurotransmitter Agents,Neurotransmitter Agents,C0243051,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000033,MeSH_PA,C012729,2-amino-4-phosphonobutyric acid,6323-99-5,2-Amino-4-phosphonobutyric acid,ChemID+,exact,,,,,,,,2-Amino-4-phosphonobutyric acid,,6323-99-5,exact,,,,2-amino-4-phosphonobutyric acid,C012729,6323-99-5,exact,,,,2-Amino-4-Phosphonobutyric Acid,C0045845,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,anti,,#VALUE!,Anticonvulsants,Anticonvulsants,Y,quasi syn therclass-to-disease,Convulsions,Convulsions,C0009951,P,Y,A2.2.2_Sign or Symptom,,,,exact (CUI-based),Anticonvulsants,Anticonvulsants,C0003286,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000034,MeSH_PA,C012729,2-amino-4-phosphonobutyric acid,6323-99-5,2-Amino-4-phosphonobutyric acid,ChemID+,exact,,,,,,,,2-Amino-4-phosphonobutyric acid,,6323-99-5,exact,,,,2-amino-4-phosphonobutyric acid,C012729,6323-99-5,exact,,,,2-Amino-4-Phosphonobutyric Acid,C0045845,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Central Nervous System Agents,Central Nervous System Agents,Y,quasi syn therclass-to-disease,Cns Disorder,Cns Disorder,C0007682,P,Y,B2.2.1.2.1_Disease or Syndrome,,,,exact (CUI-based),Central Nervous System Agents,Central Nervous System Agents,C0007680,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000035,MeSH_PA,C012729,2-amino-4-phosphonobutyric acid,6323-99-5,2-Amino-4-phosphonobutyric acid,ChemID+,exact,,,,,,,,2-Amino-4-phosphonobutyric acid,,6323-99-5,exact,,,,2-amino-4-phosphonobutyric acid,C012729,6323-99-5,exact,,,,2-Amino-4-Phosphonobutyric Acid,C0045845,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,,,#VALUE!,Excitatory Amino Acid Agents,Excitatory Amino Acid Agents,Y,NT + quasi syn therclass-to-function,Excitatory Synaptic Transmission,Excitatory Synaptic Transmission,C0234107,P,Y,B2.2.1.1.2_Organ or Tissue Function,,,,exact (CUI-based),Excitatory Amino Acid Agents,Excitatory Amino Acid Agents,C0242900,P,A1.4.1.1.1_Pharmacologic Substance,,,
1_000036,MeSH_PA,C012729,2-amino-4-phosphonobutyric acid,6323-99-5,2-Amino-4-phosphonobutyric acid,ChemID+,exact,,,,,,,,2-Amino-4-phosphonobutyric acid,,6323-99-5,exact,,,,2-amino-4-phosphonobutyric acid,C012729,6323-99-5,exact,,,,2-Amino-4-Phosphonobutyric Acid,C0045845,exact,,,,A1.4.1.1.1_Pharmacologic Substance,A1.4.1.2.1_Organic Chemical,,,agonist,agonist,23,Excitatory Amino Acid Agonists,Excitatory Amino Acid Agonists,Y,NT + quasi syn therclass-to-function,Excitatory Synaptic Transmission,Excitatory Synaptic Transmission,C0234107,P,Y,B2.2.1.1.2_Organ or Tissue Function,,,,exact (CUI-based),Excitatory Amino Acid Agonists,Excitatory Amino Acid Agonists,C0242909,P,A1.4.1.1.1_Pharmacologic Substance,,,
