interactions_url,Generic name,Drug class,availability,score,reviews,description,side_effects,drug name,Dosage form
/drug-interactions/alendronate-index.html,alendronate,['Bisphosphonates'],Prescription only,22.5,149,"Alendronate is used to treat osteoporosis caused by menopause, steroid use, or gonadal failure.  alendronate is for use when you have a high risk of bone fracture due to osteoporosis.","['\nchest pain, new worsening heartburn\n', '\ndifficulty pain when swallowing\n', '\npain burning under the ribs in the back\n', '\nsevere heartburn, burning pain in your upper stomach, coughing up blood\n', '\nnew unusual pain in your thigh hip\n', '\njaw pain, numbness, swelling\n', '\nsevere joint, bone, muscle pain\n', '\nlow calcium levels\n']",Alendronate,
"/drug-interactions/naproxen,aleve-index.html",['naproxen'],Nonsteroidal anti-inflammatory drugs,Rx and/or OTC,69.1,147,Aleve is a nonsteroidal anti-inflammatory drug (NSAID). Naproxen works by reducing hormones that cause inflammation and pain in the body.,"['\nshortness of breath (even with mild exertion)\n', '\nswelling rapid weight gain\n', '\nthe first sign of any skin rash, no matter how mild\n', '\nsigns of stomach bleeding \n', '\nliver problems \n', '\nkidney problems \n', '\nlow red blood cells (anemia) \n', '\nsevere skin reaction \n']",Aleve,
"/drug-interactions/fexofenadine,allegra-index.html",['fexofenadine'],['Antihistamines'],Rx and/or OTC,67.8,89,"Allegra is an antihistamine that reduces the effects of natural chemical histamine in the body. Histamine can produce symptoms of sneezing, itching, watery eyes, and runny nose.","['\nnausea, diarrhea, upset stomach\n', '\nmenstrual cramps\n', '\ndrowsiness, tired feeling\n', '\nheadache\n', '\nmuscle back pain\n']",Allegra,
/drug-interactions/allopurinol-index.html,allopurinol,,Prescription only,74.5,82,Allopurinol reduces the production of uric acid in the body. Uric acid buildup can lead to gout or kidney stones.,"['\nany skin rash, no matter how mild\n', '\npainful urination, blood in the urine\n', '\nlittle no urination\n', '\neasy bruising, unusual bleeding\n', '\nnumbness, tingling, burning pain\n', '\nworsening gout symptoms\n', '\nliver problems \n']",Allopurinol,
/drug-interactions/alprazolam-index.html,alprazolam,['Benzodiazepines'],Prescription only,86.9,1,Alprazolam is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It is thought that it works by enhancing the activity of certain neurotransmitters in the brain.,"['\nweak shallow breathing\n', '\na light\n', '\na seizure\n', '\nhallucinations, risk\n', '\nincreased energy, decreased need for sleep\n', '\nracing thoughts, being agitated talkative\n', '\ndouble vision\n', '\njaundice (yellowing of the skin eyes)\n']",Alprazolam,
"/drug-interactions/brigatinib,alunbrig-index.html",['brigatinib'],['Multikinase inhibitors'],Prescription only,,,Alunbrig is a cancer medicine that interferes with the growth and spread of cancer cells in the body.,"['\nlung problems \n', '\nvision problems \n', '\nhigh blood pressure \n', '\nhigh blood sugar \n', '\nheart problems \n', '\nmuscle problems \n', '\npancreatitis \n']",Alunbrig,
/drug-interactions/amantadine-index.html,amantadine,,Prescription only,69.8,41,Amantadine is an antiviral medicine that blocks the actions of viruses in your body.,"['\nextreme drowsiness, falling asleep suddenly even after feeling alert\n', '\na light\n', '\nshortness of breath (even with mild exertion), swelling in your hands feet\n', '\npainful difficult urination\n', '\ndepression, agitation, aggression, behavior changes, hallucinations, thoughts of hurting yourself\n', '\na seizure\n', '\nsevere nervous system reaction \n']",Amantadine,
"/drug-interactions/zolpidem,ambien-index.html",['zolpidem'],"Miscellaneous anxiolytics, sedatives and hypnotics",Prescription only,70.1,540,"Ambien is a sedative, also called a hypnotic. Zolpidem affects chemicals in the brain that may be unbalanced in people with sleep problems insomnia).","['\nchest pain, fast irregular heartbeat, feeling short of breath\n', '\ntrouble breathing swallowing\n', '\nfeeling like you might pass out\n']",Ambien,
/drug-interactions/amiodarone-index.html,amiodarone tablets,['Group III antiarrhythmics'],Prescription only,48.7,88,Amiodarone affects the rhythm of your heartbeats. It is used to help keep the heart beating normally in people with life-threatening heart rhythm disorders of the ventricles (the lower chambers of the heart that allow blood to flow out of the heart).,"['\nwheezing, cough, chest pain, cough with bloody mucus, fever\n', '\na new a worsening irregular heartbeat pattern (fast, slow, pounding heartbeats)\n', '\na light\n', '\nblurred vision, seeing halos around lights (your eyes may be more sensitive to light)\n', '\nliver problems \n', '\nnerve problems \n', '\nsigns of overactive thyroid \n', '\nsigns of underactive thyroid \n']",Amiodarone,
/drug-interactions/amitriptyline-index.html,amitriptyline,['Tricyclic antidepressants'],Prescription only,75.3,1,Amitriptyline is a tricyclic antidepressant with sedative effects. Amitriptyline affects certain chemical messengers (neurotransmitters) that communicate between brain cells and help regulate mood.,"['\nsigns of a blood clot \n', '\nunusual thoughts behavior\n', '\na light\n', '\nchest pain pressure, pain spreading to your jaw shoulder, nausea, sweating\n', '\npounding heartbeats fluttering in your chest\n', '\nconfusion, hallucinations\n', '\na seizure (convulsions)\n', '\npainful difficult urination\n', '\nsevere constipation\n', '\neasy bruising, unusual bleeding\n', '\nfever, chills, sore throat, mouth sores\n']",Amitriptyline,
/drug-interactions/amlodipine-index.html,amlodipine,['Calcium channel blocking agents'],Prescription only,41.6,728,"Amlodipine is used to treat high blood pressure (hypertension), some types of angina and other conditions caused by coronary artery disease. Amlodipine is a calcium channel blocker that works by changing the movement of calcium in the heart and blood vessel cells. This widens the blood vessels which increases the blood and oxygen supply to the heart and also lowers blood pressure.","['pounding heartbeats fluttering in your chest', 'worsening chest pain', 'swelling in your feet ankles', 'severe drowsiness', 'a light']",Amlodipine,
/drug-interactions/amoxicillin-clavulanate-index.html,amoxicillin and clavulanate potassium,Beta-lactamase inhibitors,Prescription only,52.0,841,Amoxicillin and clavulanate potassium is a combination prescription antibiotic. Amoxicillin is a penicillin antibiotic that fights bacteria in the body. Clavulanate potassium is a beta-lactamase inhibitor that helps prevent certain bacteria from becoming resistant to amoxicillin.,"['\nsevere stomach pain, diarrhea that is watery bloody (even if it occurs months after your last dose)\n', '\npale yellowed skin, dark colored urine, fever, confusion weakness\n', '\nloss of appetite, upper stomach pain\n', '\nlittle no urination\n', '\neasy bruising bleeding\n']",Amoxicillin and Clavulanate,
/drug-interactions/ampicillin-index.html,ampicillin,['Aminopenicillins'],Prescription only,100.0,4,"Ampicillin is a penicillin antibiotic that is used to treat or prevent many different types of infections such as bladder infections, pneumonia, gonorrhea, meningitis, or infections of the stomach or intestines.","['\nsevere stomach pain, diarrhea that is watery bloody (even if it occurs months after your last dose)\n', '\nblisters, ulcers, soreness in your mouth\n', '\nskin rash, redness, itching\n', '\nfever, chills, sore throat, swollen glands, joint pain, not feeling well\n', '\npale skin, cold hands and feet\n', '\nfeeling light\n']",Ampicillin,
"/drug-interactions/testosterone,androgel-index.html",['testosterone topical'],['Androgens and anabolic steroids'],Prescription only,73.8,104,"AndroGel contains testosterone, a naturally occurring male hormone necessary for many processes in the body. It works by replacing or supplementing the testosterone that is naturally made in the body.","['\nincreased urination (many times per day), loss of bladder control\n', '\npainful difficult urination\n', '\nbreast pain swelling\n', '\npainful bothersome erections\n', '\nswelling, rapid weight gain, shortness of breath during sleep\n', '\nchest pain pressure, pain spreading to your jaw shoulder\n', '\nliver problems \n', '\nsigns of a blood clot in the lung \n', '\nsigns of a blood clot in your leg \n']",AndroGel,
/drug-interactions/apalutamide-index.html,apalutamide,,Prescription only,80.0,3,Apalutamide is an anti-androgen. It works in the body by preventing the actions of androgens (male hormones).,"['\nchest pain discomfort (even while at rest), shortness of breath\n', '\na seizure\n', '\na fall\n', '\nsigns of a stroke \n']",Apalutamide,oral tablet
/drug-interactions/apixaban-index.html,apixaban,['Factor Xa inhibitors'],Prescription only,49.8,232,Apixaban is used to lower the risk of stroke caused by a blood clot in people with a heart rhythm disorder called atrial fibrillation.,"['\neasy bruising, unusual bleeding (nose, mouth, vagina, rectum), bleeding from wounds needle injections, any bleeding that will not stop\n', '\nheavy menstrual bleeding\n', '\nheadache, dizziness, weakness, feeling like you might pass out\n', '\nurine that looks red, pink, brown\n', '\nblack bloody stools, coughing up blood vomit that looks like coffee grounds\n']",Apixaban,oral tablet
"/drug-interactions/apomorphine,apokyn-index.html",['apomorphine injection'],['Dopaminergic antiparkinsonism agents'],Prescription only,73.3,3,"Apokyn has some of the same effects as a chemical called dopamine, which occurs naturally in your body. Low levels of dopamine in the brain are associated with Parkinson's disease.","['\na light\n', '\nextreme drowsiness, falling asleep suddenly, even after feeling alert\n', '\nconfusion, hallucinations, unusual thoughts behavior\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nfast pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out)\n', '\nongoing nausea vomiting (even after taking anti\n', '\nnew worsening cough, fever, pain when you breathe, feeling short of breath while lying down\n', '\npenis erection that is painful lasts 4 hours longer\n', '\nworsening of your Parkinson symptoms\n', '\npale yellowed skin, dark colored urine, fever, confusion weakness\n', '\nsevere nervous system reaction \n']",Apokyn,
"/drug-interactions/mesalamine,apriso-index.html",['mesalamine'],5-aminosalicylates,Prescription only,66.4,24,"Apriso affects a substance in the body that causes inflammation, tissue damage, and diarrhea.","['\nsevere stomach pain, stomach cramping, bloody diarrhea\n', '\nfever, headache, general ill feeling\n', '\nrash, itching, eye redness\n', '\nbloody tarry stools, coughing up blood vomit that looks like coffee grounds\n', '\nlow white blood cell counts \n', '\nsigns of a kidney stone \n', '\nkidney problems \n', '\nliver problems \n']",Apriso,
"/drug-interactions/eslicarbazepine,aptiom-index.html",['eslicarbazepine'],['Dibenzazepine anticonvulsants'],Prescription only,65.8,36,Aptiom is an anticonvulsant. It works by decreasing nerve impulses that cause seizures and pain.,"['\nsevere dizziness drowsiness, vision changes, thinking problems, trouble with walking coordination\n', '\nsudden weakness ill feeling, fever, chills, sore throat, mouth sores\n', '\nliver problems \n']",Aptiom,
"/drug-interactions/donepezil,aricept-index.html",['donepezil'],['Cholinesterase inhibitors'],Prescription only,54.5,31,"Aricept improves the function of nerve cells in the brain. It works by preventing the breakdown of a chemical called acetylcholine (ah SEET il KOE leen). People with dementia usually have lower levels of this chemical, which is important for the processes of memory, thinking, and reasoning.","['\nsevere ongoing vomiting\n', '\na light\n', '\nslow heartbeats\n', '\nseizure (convulsions)\n', '\npainful difficult urination\n', '\nnew worsening breathing problems\n', '\nsigns of stomach bleeding\n']",Aricept,
/drug-interactions/aripiprazole-index.html,aripiprazole,['Atypical antipsychotics'],Prescription only,60.0,1,Aripiprazole is an antipsychotic medicine that is used to treat schizophrenia in adults and children at least 13 years old.,"['\nsevere agitation, distress, restless feeling\n', '\ntwitching uncontrollable movements of your eyes, lips, tongue, face, arms, legs\n', '\nmask\n', '\nseizure (convulsions)\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",Aripiprazole,
"/drug-interactions/aripiprazole,aristada-index.html",['aripiprazole'],['Atypical antipsychotics'],Prescription only,34.2,12,Aristada is an antipsychotic medication. It works by changing the actions of chemicals in the brain.,"['\nuncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking eye movement)\n', '\nfeeling uncomfortably warm hot\n', '\ntrouble swallowing\n', '\na seizure\n', '\nsevere nervous system reaction \n', '\nlow blood cell counts \n', '\nhigh blood sugar \n']",Aristada,
"/drug-interactions/exemestane,aromasin-index.html",['exemestane'],,Prescription only,44.7,18,"Aromasin ) lowers estrogen levels in postmenopausal women, which may slow the growth of certain types of breast tumors that need estrogen to grow in the body.","['\nchest pain pressure\n', '\nnew unusual bone pain\n', '\nswelling in your hands feet\n', '\nfeeling short of breath, even with mild exertion\n', '\nsigns of a blood clot \n']",Aromasin,
"/drug-interactions/hydroxyzine,atarax-index.html",['hydroxyzine'],,Discontinued,62.9,140,"Atarax reduces activity in the central nervous system. It also acts as an antihistamine that reduces the natural chemical histamine in the body. Histamine can produce symptoms of sneezing and runny nose, or hives on the skin.","['\nrestless muscle movements in your eyes, tongue, jaw, neck\n', '\ntremor (uncontrolled shaking)\n', '\nconfusion\n', '\nseizure (convulsions)\n']",Atarax,
/drug-interactions/atenolol-index.html,atenolol,['Cardioselective beta blockers'],Prescription only,73.0,251,Atenolol is a beta-blocker that affects the heart and circulation (blood flow through arteries and veins).,"['\nnew worsening chest pain\n', '\nslow uneven heartbeats\n', '\na light\n', '\nshortness of breath (even with mild exertion), swelling, rapid weight gain\n', '\na cold feeling in your hands and feet\n']",Atenolol,oral tablet
"/drug-interactions/lorazepam,ativan-index.html",['lorazepam'],,Prescription only,80.0,446,Ativan belongs to a group of drugs called benzodiazepines (ben-zoe-dye-AZE-eh-peens). It is thought that lorazepam works by enhancing the activity of certain neurotransmitters in the brain.,"['\nsevere drowsiness\n', '\nunusual changes in mood behavior, being agitated talkative\n', '\nsudden restless feeling excitement\n', '\nthoughts of suicide hurting yourself\n', '\nconfusion, aggression, hallucinations\n', '\nsleep problems\n', '\nvision changes\n', '\ndark urine, jaundice (yellowing of the skin eyes)\n']",Ativan,
/drug-interactions/atomoxetine-index.html,atomoxetine,['Adrenergic uptake inhibitors for ADHD'],Prescription only,51.8,562,Atomoxetine is used to treat attention deficit hyperactivity disorder (ADHD).,"['\nsigns of heart problems\n', '\nsigns of psychosis\n', '\nliver problems\n', '\npainful difficult urination\n', '\nerection is painful lasts longer than 4 hours (this is a rare side effect)\n']",Atomoxetine,oral capsule
/drug-interactions/atorvastatin-index.html,atorvastatin,['Statins'],Prescription only,42.5,272,"Atorvastatin belongs to a group of drugs called HMG CoA reductase inhibitors, or ""statins.""","['muscle weakness in your hips, shoulders, neck, and back', 'trouble lifting your arms, trouble climbing standing', 'liver problems', 'kidney problems']",Atorvastatin,oral tablet
"/drug-interactions/teriflunomide,aubagio-index.html",['teriflunomide'],['Selective immunosuppressants'],Prescription only,52.4,78,Aubagio affects the immune system and reduces swelling and inflammation in the nervous system.,"['\nnumbness tingling in your hands feet that feels different from your MS symptoms\n', '\ntrouble breathing, new worsening cough with without fever\n', '\nsigns of infection \n', '\nliver problems \n']",Aubagio,
"/drug-interactions/amoxicillin-clavulanate,augmentin-index.html",['amoxicillin and clavulanate potassium'],Beta-lactamase inhibitors,Prescription only,54.0,413,Augmentin contains a combination of amoxicillin and clavulanate potassium. Amoxicillin is a penicillin antibiotic that fights bacteria in the body. Clavulanate potassium is a beta-lactamase inhibitor that helps prevent certain bacteria from becoming resistant to amoxicillin.,"['\nsevere stomach pain, diarrhea that is watery bloody (even if it occurs months after your last dose)\n', '\npale yellowed skin, dark colored urine, fever, confusion weakness\n', '\nloss of appetite, upper stomach pain\n', '\nlittle no urination\n', '\neasy bruising bleeding\n']",Augmentin,
"/drug-interactions/deutetrabenazine,austedo-index.html",['deutetrabenazine'],['VMAT2 inhibitors'],Prescription only,53.3,3,Austedo reduces the amount of certain chemicals in the body that are overly active in people with Huntington's disease.,"['\nfast pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out)\n', '\npain burning when you urinate\n', '\nsevere restlessness agitation\n', '\ntremors, shaking\n', '\nmuscle stiffness\n', '\nproblems with balance coordination\n', '\nsevere nervous system reaction \n']",Austedo,
