name,class,drug_name
urinary retention,Moderate,Acetaminophen and Hydrocodone
arrhythmias,Moderate,Acetaminophen and Hydrocodone
hepatic encephalopathy,Major,Acetylcysteine
asthma,Moderate,Acetylcysteine
fluid overload,Moderate,Acetylcysteine
gastric hemorrhage,Moderate,Acetylcysteine
CHF,Major,Actos
type I diabetes,Major,Actos
bladder cancer,Moderate,Actos
edema,Moderate,Actos
liver disease,Moderate,Actos
macular edema,Moderate,Actos
premenopausal anovulation,Moderate,Actos
weight gain,Moderate,Actos
anemia,Minor,Actos
renal dysfunction,Major,Acyclovir
dehydration,Moderate,Acyclovir
hemodialysis,Moderate,Acyclovir
neurotoxicity,Moderate,Acyclovir
cardiovascular,Major,Adderall
glaucoma,Major,Adderall
agitation,Major,Adderall
cardiac disease,Major,Adderall
glaucoma,Major,Adderall
hypertension,Major,Adderall
liver disease,Major,Adderall
psychiatric disorders,Major,Adderall
substance abuse,Major,Adderall
tics,Major,Adderall
bipolar disorders,Moderate,Adderall
psychotic disorders,Moderate,Adderall
renal dysfunction,Moderate,Adderall
seizure disorders,Moderate,Adderall
diabetics,Moderate,Adderall
cardiovascular,Major,Adderall XR
glaucoma,Major,Adderall XR
agitation,Major,Adderall XR
cardiac disease,Major,Adderall XR
glaucoma,Major,Adderall XR
hypertension,Major,Adderall XR
liver disease,Major,Adderall XR
psychiatric disorders,Major,Adderall XR
substance abuse,Major,Adderall XR
tics,Major,Adderall XR
bipolar disorders,Moderate,Adderall XR
psychotic disorders,Moderate,Adderall XR
renal dysfunction,Moderate,Adderall XR
seizure disorders,Moderate,Adderall XR
diabetics,Moderate,Adderall XR
cardiovascular,Moderate,Advair Diskus
diabetes,Moderate,Advair Diskus
hypokalemia,Moderate,Advair Diskus
seizures,Moderate,Advair Diskus
hepatic impairment,Moderate,Advair Diskus
hyperadrenocorticism,Moderate,Advair Diskus
infections,Moderate,Advair Diskus
ocular herpes simplex,Moderate,Advair Diskus
ocular toxicities,Moderate,Advair Diskus
osteoporosis,Moderate,Advair Diskus
hepatic dysfunction,Moderate,Advair Diskus
asthma,Major,Advil
fluid retention,Major,Advil
GI toxicity,Major,Advil
rash,Major,Advil
renal toxicities,Major,Advil
thrombosis,Major,Advil
PKU,Moderate,Advil
anemia,Moderate,Advil
heart failure,Moderate,Advil
hepatotoxicity,Moderate,Advil
hyperkalemia,Moderate,Advil
hypertension,Moderate,Advil
platelet aggregation inhibition,Moderate,Advil
liver disease,Major,Afinitor
vaccination,Major,Afinitor
renal disease,Major,Afinitor
hematologic abnormalities,Moderate,Afinitor
blood glucose,Moderate,Afinitor
cholesterol,Moderate,Afinitor
Infections,Moderate,Afinitor
wound complication,Moderate,Afinitor
constipation,Moderate,Aimovig
hypertension,Moderate,Aimovig
cardiovascular,Moderate,Albuterol
diabetes,Moderate,Albuterol
hypokalemia,Moderate,Albuterol
seizures,Moderate,Albuterol
renal dysfunction,Moderate,Albuterol
bradycardia,Moderate,Alecensa
hepatic impairment,Moderate,Alecensa
myalgia,Moderate,Alecensa
renal impairment,Moderate,Alecensa
lung toxicity,Moderate,Alecensa
aspiration,Major,Alendronate
ONJ,Major,Alendronate
hypocalcemia,Major,Alendronate
upper GI mucosal irritation,Major,Alendronate
CV,Moderate,Alendronate
renal dysfunction,Moderate,Alendronate
asthma,Moderate,Alendronate
asthma,Major,Aleve
fluid retention,Major,Aleve
GI toxicity,Major,Aleve
rash,Major,Aleve
renal toxicities,Major,Aleve
thrombosis,Major,Aleve
sodium,Moderate,Aleve
anemia,Moderate,Aleve
heart failure,Moderate,Aleve
hepatotoxicity,Moderate,Aleve
hyperkalemia,Moderate,Aleve
hypertension,Moderate,Aleve
platelet aggregation inhibition,Moderate,Aleve
renal dysfunction,Moderate,Allegra
bone marrow suppression,Moderate,Allopurinol
dehydration,Moderate,Allopurinol
liver disease,Moderate,Allopurinol
renal dysfunction,Moderate,Allopurinol
acute alcohol intoxication,Major,Alprazolam
closed-angle glaucoma,Major,Alprazolam
drug dependence,Major,Alprazolam
renal/liver disease,Major,Alprazolam
respiratory depression,Major,Alprazolam
seizures,Major,Alprazolam
depression,Moderate,Alprazolam
obesity,Moderate,Alprazolam
paradoxical reactions,Moderate,Alprazolam
liver dysfunction,Moderate,Alunbrig
pulmonary toxicity,Moderate,Alunbrig
renal impairment,Moderate,Alunbrig
psychoses/depression,Major,Amantadine
renal dysfunction,Major,Amantadine
seizure disorders,Major,Amantadine
hypotension,Major,Amantadine
psychosis,Major,Amantadine
CHF/edema,Moderate,Amantadine
hypotension,Moderate,Amantadine
alcohol intox,Major,Ambien
depression,Major,Ambien
drug dependence,Major,Ambien
liver disease,Major,Ambien
glaucoma,Moderate,Ambien
liver disease,Moderate,Ambien
resp depression,Moderate,Ambien
renal dysfunction,Moderate,Ambien
dialysis,Major,Amiodarone
pulmonary dysfunction,Major,Amiodarone
sinus node dysfunction,Major,Amiodarone
visual impairment,Major,Amiodarone
cardiovascular dysfunction,Major,Amiodarone
proarrhythmic effects,Major,Amiodarone
hepatic impairment,Moderate,Amiodarone
neurologic dysfunction,Moderate,Amiodarone
thyroid dysfunction,Moderate,Amiodarone
electrolyte imbalance,Moderate,Amiodarone
anticholinergic effects,Major,Amitriptyline
cardiovascular disease,Major,Amitriptyline
pheochromocytoma,Major,Amitriptyline
acute myocardial infarction recovery,Major,Amitriptyline
cardiovascular disease,Major,Amitriptyline
depression,Major,Amitriptyline
seizure disorders,Major,Amitriptyline
bone marrow suppression,Moderate,Amitriptyline
diabetes,Moderate,Amitriptyline
renal/liver disease,Moderate,Amitriptyline
schizophrenia/bipolar disorder,Moderate,Amitriptyline
tardive dyskinesia,Moderate,Amitriptyline
acute alcohol intoxication,Moderate,Amitriptyline
bipolar disorder screening,Moderate,Amitriptyline
glaucoma,Moderate,Amitriptyline
hyper/hypoglycemia,Moderate,Amitriptyline
liver/renal disease,Moderate,Amitriptyline
neutropenia,Moderate,Amitriptyline
schizophrenia,Moderate,Amitriptyline
thyroid disorders,Moderate,Amitriptyline
urinary retention,Moderate,Amitriptyline
cardiogenic shock/hypotension,Major,Amlodipine
coronary artery disease,Major,Amlodipine
liver disease,Major,Amlodipine
CHF/AMI,Moderate,Amlodipine
colitis,Major,Amoxicillin
mononucleosis,Moderate,Amoxicillin
diabetes,Moderate,Amoxicillin
renal dysfunction,Moderate,Amoxicillin
hemodialysis,Moderate,Amoxicillin
hepatotoxicity,Major,Amoxicillin and Clavulanate
colitis,Major,Amoxicillin and Clavulanate
mononucleosis,Moderate,Amoxicillin and Clavulanate
diabetes,Moderate,Amoxicillin and Clavulanate
PKU,Moderate,Amoxicillin and Clavulanate
renal dysfunction,Moderate,Amoxicillin and Clavulanate
hemodialysis,Moderate,Amoxicillin and Clavulanate
colitis,Major,Ampicillin
mononucleosis,Moderate,Ampicillin
sodium,Moderate,Ampicillin
renal dysfunction,Moderate,Ampicillin
hemodialysis,Moderate,Ampicillin
cardiovascular,Moderate,Anastrozole
cholesterol,Moderate,Anastrozole
hepatic dysfunction,Moderate,Anastrozole
osteoporosis,Moderate,Anastrozole
carcinoma (male),Major,AndroGel
fluid retention,Major,AndroGel
hypercalcemia in breast cancer,Major,AndroGel
hyperlipoproteinemia,Major,AndroGel
liver disease,Major,AndroGel
polycythemia,Major,AndroGel
suppression of clotting factors,Major,AndroGel
renal/liver disease,Major,AndroGel
diabetes,Moderate,AndroGel
hypercalcemia,Moderate,AndroGel
thyroid function tests,Minor,AndroGel
CV events,Moderate,Apalutamide
liver dysfunction,Moderate,Apalutamide
osteoporosis,Moderate,Apalutamide
renal impairment,Moderate,Apalutamide
seizure,Moderate,Apalutamide
bleeding,Major,Apixaban
hepatic impairment,Major,Apixaban
valvular heart disease,Major,Apixaban
hypotension,Major,Apokyn
psychosis,Major,Apokyn
liver dysfunction,Moderate,Apriso
renal dysfunction,Moderate,Apriso
depression,Major,Aptiom
liver disease,Major,Aptiom
renal dysfunction,Major,Aptiom
hyponatremia,Moderate,Aptiom
thyroid function tests,Moderate,Aptiom
bradycardia,Major,Aricept
bronchospasm,Major,Aricept
coronary artery disease,Major,Aricept
parkinsonism,Major,Aricept
PUD,Major,Aricept
seizures,Major,Aricept
hyperthyroidism,Moderate,Aricept
hepatic dysfunction,Moderate,Aricept
cardiovascular,Moderate,Arimidex
cholesterol,Moderate,Arimidex
hepatic dysfunction,Moderate,Arimidex
osteoporosis,Moderate,Arimidex
suicidality,Major,Aripiprazole
dementia,Major,Aripiprazole
acute alcohol intoxication,Major,Aripiprazole
CNS depression,Major,Aripiprazole
NMS,Major,Aripiprazole
tardive dyskinesia,Major,Aripiprazole
aspiration,Moderate,Aripiprazole
seizure,Moderate,Aripiprazole
hematologic abnormalities,Moderate,Aripiprazole
hyperglycemia/diabetes,Moderate,Aripiprazole
hypotension,Moderate,Aripiprazole
lipid alterations,Moderate,Aripiprazole
weight gain,Moderate,Aripiprazole
anticholinergic effects,Moderate,Aripiprazole
hyperprolactinemia,Moderate,Aripiprazole
liver disease,Moderate,Aripiprazole
parkinsonism,Moderate,Aripiprazole
suicidality,Major,Aristada
dementia,Major,Aristada
acute alcohol intoxication,Major,Aristada
CNS depression,Major,Aristada
NMS,Major,Aristada
tardive dyskinesia,Major,Aristada
aspiration,Moderate,Aristada
seizure,Moderate,Aristada
hematologic abnormalities,Moderate,Aristada
hyperglycemia/diabetes,Moderate,Aristada
hypotension,Moderate,Aristada
lipid alterations,Moderate,Aristada
weight gain,Moderate,Aristada
anticholinergic effects,Moderate,Aristada
hyperprolactinemia,Moderate,Aristada
liver disease,Moderate,Aristada
parkinsonism,Moderate,Aristada
osteoporosis,Moderate,Aromasin
vitamin D deficiency,Moderate,Aromasin
depression,Major,Atarax
QT prolongation,Major,Atarax
anticholinergic effects,Moderate,Atarax
asthma/COPD,Moderate,Atarax
cardiovascular,Moderate,Atarax
renal/liver disease,Moderate,Atarax
glaucoma,Moderate,Atarax
liver disease,Moderate,Atarax
renal/liver disease,Moderate,Atarax
hemodialysis,Major,Atenolol
renal dysfunction,Major,Atenolol
bradyarrhythmia/AV block,Major,Atenolol
cardiogenic shock/hypotension,Major,Atenolol
CHF,Major,Atenolol
diabetes,Major,Atenolol
hypersensitivity,Major,Atenolol
ischemic heart disease,Major,Atenolol
PVD,Major,Atenolol
cerebrovascular insufficiency,Moderate,Atenolol
glaucoma,Moderate,Atenolol
hyperlipidemia,Moderate,Atenolol
hyperthyroidism,Moderate,Atenolol
myasthenia gravis,Moderate,Atenolol
pheochromocytoma,Moderate,Atenolol
psoriasis,Moderate,Atenolol
tachycardia,Moderate,Atenolol
asthma/COPD,Moderate,Atenolol
acute alcohol intoxication,Major,Ativan
closed-angle glaucoma,Major,Ativan
drug dependence,Major,Ativan
renal/liver disease,Major,Ativan
respiratory depression,Major,Ativan
seizures,Major,Ativan
prolonged hypotension,Major,Ativan
prematurity,Major,Ativan
depression,Moderate,Ativan
obesity,Moderate,Ativan
paradoxical reactions,Moderate,Ativan
upper GI disease,Moderate,Ativan
narrow angle glaucoma,Major,Atomoxetine
cardiac disease,Major,Atomoxetine
glaucoma,Major,Atomoxetine
hypertension,Major,Atomoxetine
liver disease,Major,Atomoxetine
psychiatric disorders,Major,Atomoxetine
bipolar disorders,Moderate,Atomoxetine
psychotic disorders,Moderate,Atomoxetine
renal dysfunction,Moderate,Atomoxetine
seizure disorders,Moderate,Atomoxetine
urinary retention,Minor,Atomoxetine
liver disease,Major,Atorvastatin
rhabdomyolysis,Major,Atorvastatin
cognitive impairment,Moderate,Atorvastatin
diabetes,Moderate,Atorvastatin
renal disease,Moderate,Atorvastatin
infections,Major,Aubagio
PML,Major,Aubagio
hepatotoxicity,Major,Aubagio
hypertension,Moderate,Aubagio
immunosuppression,Moderate,Aubagio
peripheral neuropathy,Moderate,Aubagio
respiratory complications,Moderate,Aubagio
tuberculosis,Moderate,Aubagio
vaccination,Moderate,Aubagio
hepatotoxicity,Major,Augmentin
colitis,Major,Augmentin
mononucleosis,Moderate,Augmentin
diabetes,Moderate,Augmentin
PKU,Moderate,Augmentin
renal dysfunction,Moderate,Augmentin
hemodialysis,Moderate,Augmentin
depression,Major,Austedo
hepatic dysfunction,Major,Austedo
QT prolongation,Major,Austedo
NMS,Moderate,Austedo
parkinson,Moderate,Austedo
heart failure,Major,Avsola
liver disease,Major,Avsola
infections,Major,Avsola
malignancies,Major,Avsola
neurologic reactions,Major,Avsola
tuberculosis,Major,Avsola
COPD,Moderate,Avsola
hematologic abnormalities,Moderate,Avsola
hepatitis B,Moderate,Avsola
bone marrow depression,Major,Azathioprine
infections,Major,Azathioprine
renal dysfunction,Major,Azathioprine
liver disease,Moderate,Azathioprine
hypotension,Major,Azilect
psychosis,Major,Azilect
hepatic impairment,Major,Azilect
hypertension,Moderate,Azilect
renal impairment,Moderate,Azilect
colitis,Major,Azithromycin
liver disease,Major,Azithromycin
QT prolongation,Moderate,Azithromycin
myasthenia gravis,Moderate,Azithromycin
colitis,Major,Azulfidine
intestinal obstruction,Major,Azulfidine
urinary obstruction,Major,Azulfidine
hematologic toxicity,Major,Azulfidine
hypersensitivity reactions,Major,Azulfidine
liver disease,Major,Azulfidine
porphyria,Major,Azulfidine
renal dysfunction,Major,Azulfidine
renal dysfunction,Moderate,Azulfidine
folate deficiency,Moderate,Azulfidine
G6PD deficiency,Moderate,Azulfidine
crystalluria,Moderate,Azulfidine
renal dysfunction,Major,Baclofen
autonomic dysreflexia,Moderate,Baclofen
psychoses,Moderate,Baclofen
seizure disorders,Moderate,Baclofen
colitis,Major,Bactrim
hematologic toxicity,Major,Bactrim
hypersensitivity reactions,Major,Bactrim
liver disease,Major,Bactrim
porphyria,Major,Bactrim
renal dysfunction,Major,Bactrim
folate deficiency,Major,Bactrim
crystalluria,Moderate,Bactrim
hemodialysis,Moderate,Bactrim
urinary obstruction,Moderate,Bactrim
dialysis,Moderate,Bactrim
renal dysfunction,Moderate,Bactrim
colitis,Major,Bactrim DS
hematologic toxicity,Major,Bactrim DS
hypersensitivity reactions,Major,Bactrim DS
liver disease,Major,Bactrim DS
porphyria,Major,Bactrim DS
renal dysfunction,Major,Bactrim DS
folate deficiency,Major,Bactrim DS
crystalluria,Moderate,Bactrim DS
hemodialysis,Moderate,Bactrim DS
urinary obstruction,Moderate,Bactrim DS
dialysis,Moderate,Bactrim DS
renal dysfunction,Moderate,Bactrim DS
renal dysfunction,Moderate,Balsalazide
depression,Major,Banzel
liver disease,Major,Banzel
renal dysfunction,Major,Banzel
short QT syndrome,Major,Banzel
insulinoma,Major,Baqsimi
pheochromocytoma,Major,Baqsimi
cardiac disease,Moderate,Baqsimi
glycogen depletion,Moderate,Baqsimi
renal/liver disease,Moderate,Basaglar
hypokalemia,Moderate,Basaglar
hypoglycemia,Moderate,Basaglar
hepatic impairment,Moderate,Bavencio
adrenal insufficiency,Moderate,Bavencio
colitis,Moderate,Bavencio
diabetes,Moderate,Bavencio
pneumonitis,Moderate,Bavencio
renal dysfunction,Moderate,Bavencio
thyroid disease,Moderate,Bavencio
impaired GI motility,Major,Belbuca
infectious diarrhea,Major,Belbuca
liver disease,Major,Belbuca
prematurity,Major,Belbuca
gastrointestinal obstruction,Major,Belbuca
acute MI,Major,Belbuca
drug dependence,Major,Belbuca
intracranial pressure,Major,Belbuca
respiratory depression,Major,Belbuca
adrenal insufficiency,Moderate,Belbuca
biliary spasm,Moderate,Belbuca
hypothyroidism,Moderate,Belbuca
renal dysfunction,Moderate,Belbuca
seizure disorders,Moderate,Belbuca
urinary retention,Moderate,Belbuca
depression,Major,Belsomra
severe renal impairment,Major,Belsomra
impaired respiratory function,Major,Belsomra
narcolepsy,Major,Belsomra
glaucoma,Moderate,Belsomra
liver disease,Moderate,Belsomra
depression,Major,Benadryl
anticholinergic effects,Moderate,Benadryl
asthma/COPD,Moderate,Benadryl
cardiovascular,Moderate,Benadryl
renal/liver disease,Moderate,Benadryl
glaucoma,Moderate,Benadryl
liver disease,Moderate,Benadryl
resp depression,Moderate,Benadryl
angioedema,Major,Benazepril
bone marrow suppression,Major,Benazepril
CHF,Major,Benazepril
hemodialysis,Major,Benazepril
hyperkalemia,Major,Benazepril
hypotension,Major,Benazepril
liver disease,Moderate,Benazepril
renal dysfunction,Moderate,Benazepril
hepatic impairment,Major,Bendeka
renal impairment,Major,Bendeka
infections,Moderate,Bendeka
myelosuppression,Moderate,Bendeka
angioedema,Major,Benicar
hypotension,Major,Benicar
CHF,Moderate,Benicar
hyperkalemia,Moderate,Benicar
renal artery stenosis,Moderate,Benicar
renal impairment,Moderate,Benicar
renal/liver disease,Moderate,Benicar
infections,Major,Benlysta
PML,Major,Benlysta
depression,Moderate,Benlysta
vaccination,Moderate,Benlysta
autonomic neuropathy,Major,Bentyl
GI obstruction,Major,Bentyl
glaucoma,Major,Bentyl
obstructive uropathy,Major,Bentyl
tardive dyskinesia,Major,Bentyl
myasthenia gravis,Major,Bentyl
infectious diarrhea,Major,Bentyl
CV acute hemorrhage,Major,Bentyl
reflux esophagitis.,Major,Bentyl
severe ulcerative colitis,Major,Bentyl
coronary artery disease,Moderate,Bentyl
gastroesophageal reflux,Moderate,Bentyl
psychoses,Moderate,Bentyl
hepatic impairment,Moderate,Bentyl
hyperthyroidism,Moderate,Bentyl
renal impairment,Moderate,Bentyl
hypertension,Minor,Bentyl
fever,Minor,Bentyl
psychiatric conditions,Moderate,Benzonatate
infectious diarrhea,Major,Benztropine
angle-closure glaucoma.,Major,Benztropine
psychoses,Moderate,Benztropine
anhydrosis,Moderate,Benztropine
BPH,Moderate,Benztropine
CNS disorders,Moderate,Benztropine
dysuria,Moderate,Benztropine
GI obstruction,Moderate,Benztropine
hypertension,Moderate,Benztropine
tachycardia,Moderate,Benztropine
tardive dyskinesia,Moderate,Benztropine
fever,Minor,Benztropine
thromboembolic events,Moderate,Berinert
bronchospasm,Major,Bethanechol
cardiac dysfunction,Major,Bethanechol
GI/bladder neck obstruction,Major,Bethanechol
hyperthyroidism,Major,Bethanechol
parkinsonism,Major,Bethanechol
seizure disorders,Major,Bethanechol
fistula formation,Major,Bevacizumab
GI perforation,Major,Bevacizumab
bleeding,Moderate,Bevacizumab
hypertension,Moderate,Bevacizumab
PRES,Moderate,Bevacizumab
proteinuria,Moderate,Bevacizumab
thromboembolic disorders,Moderate,Bevacizumab
hepatic dysfunction,Moderate,Bicalutamide
infections,Major,Blincyto
vaccination,Major,Blincyto
infusion reactions,Major,Blincyto
tumor lysis syndrome,Major,Blincyto
liver dysfunction,Moderate,Blincyto
neurologic disorders,Moderate,Blincyto
neutropenia,Moderate,Blincyto
pancreatitis,Moderate,Blincyto
renal impairment,Minor,Blincyto
ONJ,Major,Boniva
hypocalcemia,Major,Boniva
upper GI mucosal irritation,Major,Boniva
renal dysfunction,Major,Boniva
asthma,Moderate,Boniva
dysphagia/respiratory disorders,Major,Botox
infection,Major,Botox
UTI,Major,Botox
cardiovascular,Moderate,Breo Ellipta
diabetes,Moderate,Breo Ellipta
hypokalemia,Moderate,Breo Ellipta
seizures,Moderate,Breo Ellipta
hepatic impairment,Moderate,Breo Ellipta
hyperadrenocorticism,Moderate,Breo Ellipta
infections,Moderate,Breo Ellipta
ocular herpes simplex,Moderate,Breo Ellipta
ocular toxicities,Moderate,Breo Ellipta
osteoporosis,Moderate,Breo Ellipta
arrhythmias,Major,Breztri Aerosphere
autonomic neuropathy,Major,Breztri Aerosphere
GI obstruction,Major,Breztri Aerosphere
glaucoma,Major,Breztri Aerosphere
obstructive uropathy,Major,Breztri Aerosphere
tardive dyskinesia,Major,Breztri Aerosphere
infectious diarrhea,Major,Breztri Aerosphere
myasthenia gravis,Major,Breztri Aerosphere
psychoses,Moderate,Breztri Aerosphere
cardiovascular,Moderate,Breztri Aerosphere
diabetes,Moderate,Breztri Aerosphere
hypokalemia,Moderate,Breztri Aerosphere
seizures,Moderate,Breztri Aerosphere
hepatic impairment,Moderate,Breztri Aerosphere
hepatic impairment,Moderate,Breztri Aerosphere
hyperadrenocorticism,Moderate,Breztri Aerosphere
infections,Moderate,Breztri Aerosphere
ocular herpes simplex,Moderate,Breztri Aerosphere
ocular toxicities,Moderate,Breztri Aerosphere
osteoporosis,Moderate,Breztri Aerosphere
hypertension,Minor,Breztri Aerosphere
fever,Minor,Breztri Aerosphere
bleeding,Major,Brilinta
liver dysfunction,Major,Brilinta
bradyarrhythmias,Moderate,Brilinta
dyspnea,Moderate,Brilinta
renal impairment,Moderate,Brilinta
suicidal tendency,Moderate,Briviact
bronchospasm/angioedema.,Moderate,Briviact
hepatic dysfunction,Moderate,Briviact
renal impairment,Moderate,Briviact
cardiac disease,Major,Bromocriptine
hypotension,Major,Bromocriptine
psychoses/depression,Major,Bromocriptine
psychosis,Major,Bromocriptine
arrhythmias,Moderate,Brukinsa
bleeding,Moderate,Brukinsa
cytopenias,Moderate,Brukinsa
hepatic impairment,Moderate,Brukinsa
infections,Moderate,Brukinsa
renal impairment,Moderate,Brukinsa
diabetes,Moderate,Bryhali
diaper rash,Moderate,Bryhali
hyperadrenocorticism,Moderate,Bryhali
infections,Moderate,Bryhali
ocular toxicities,Moderate,Bryhali
hepatic impairment,Moderate,Budesonide
hepatic impairment,Moderate,Budesonide
hyperadrenocorticism,Moderate,Budesonide
infections,Moderate,Budesonide
ocular herpes simplex,Moderate,Budesonide
ocular toxicities,Moderate,Budesonide
osteoporosis,Moderate,Budesonide
anuria,Major,Bumetanide
cirrhosis,Major,Bumetanide
electrolyte losses,Major,Bumetanide
ototoxicity,Major,Bumetanide
renal dysfunction,Major,Bumetanide
diabetes,Moderate,Bumetanide
hyperuricemia,Moderate,Bumetanide
anuria,Major,Bumex
cirrhosis,Major,Bumex
electrolyte losses,Major,Bumex
ototoxicity,Major,Bumex
renal dysfunction,Major,Bumex
diabetes,Moderate,Bumex
hyperuricemia,Moderate,Bumex
CV disorders,Major,Bunavail
impaired GI motility,Major,Bunavail
infectious diarrhea,Major,Bunavail
liver disease,Major,Bunavail
prematurity,Major,Bunavail
gastrointestinal obstruction,Major,Bunavail
acute MI,Major,Bunavail
drug dependence,Major,Bunavail
intracranial pressure,Major,Bunavail
respiratory depression,Major,Bunavail
liver disease,Moderate,Bunavail
renal,Moderate,Bunavail
septic shock,Moderate,Bunavail
adrenal insufficiency,Moderate,Bunavail
biliary spasm,Moderate,Bunavail
hypothyroidism,Moderate,Bunavail
renal dysfunction,Moderate,Bunavail
seizure disorders,Moderate,Bunavail
urinary retention,Moderate,Bunavail
cardiovascular disease,Moderate,Bupivacaine
liver disease,Moderate,Bupivacaine
renal impairment,Moderate,Bupivacaine
impaired GI motility,Major,Buprenex
infectious diarrhea,Major,Buprenex
liver disease,Major,Buprenex
prematurity,Major,Buprenex
gastrointestinal obstruction,Major,Buprenex
acute MI,Major,Buprenex
drug dependence,Major,Buprenex
intracranial pressure,Major,Buprenex
respiratory depression,Major,Buprenex
adrenal insufficiency,Moderate,Buprenex
biliary spasm,Moderate,Buprenex
hypothyroidism,Moderate,Buprenex
renal dysfunction,Moderate,Buprenex
seizure disorders,Moderate,Buprenex
urinary retention,Moderate,Buprenex
impaired GI motility,Major,Buprenorphine
infectious diarrhea,Major,Buprenorphine
liver disease,Major,Buprenorphine
prematurity,Major,Buprenorphine
gastrointestinal obstruction,Major,Buprenorphine
acute MI,Major,Buprenorphine
drug dependence,Major,Buprenorphine
intracranial pressure,Major,Buprenorphine
respiratory depression,Major,Buprenorphine
adrenal insufficiency,Moderate,Buprenorphine
biliary spasm,Moderate,Buprenorphine
hypothyroidism,Moderate,Buprenorphine
renal dysfunction,Moderate,Buprenorphine
seizure disorders,Moderate,Buprenorphine
urinary retention,Moderate,Buprenorphine
CV disorders,Major,Buprenorphine & Naloxone
impaired GI motility,Major,Buprenorphine & Naloxone
infectious diarrhea,Major,Buprenorphine & Naloxone
liver disease,Major,Buprenorphine & Naloxone
prematurity,Major,Buprenorphine & Naloxone
gastrointestinal obstruction,Major,Buprenorphine & Naloxone
acute MI,Major,Buprenorphine & Naloxone
drug dependence,Major,Buprenorphine & Naloxone
intracranial pressure,Major,Buprenorphine & Naloxone
respiratory depression,Major,Buprenorphine & Naloxone
liver disease,Moderate,Buprenorphine & Naloxone
renal,Moderate,Buprenorphine & Naloxone
septic shock,Moderate,Buprenorphine & Naloxone
adrenal insufficiency,Moderate,Buprenorphine & Naloxone
biliary spasm,Moderate,Buprenorphine & Naloxone
hypothyroidism,Moderate,Buprenorphine & Naloxone
renal dysfunction,Moderate,Buprenorphine & Naloxone
seizure disorders,Moderate,Buprenorphine & Naloxone
urinary retention,Moderate,Buprenorphine & Naloxone
depression,Major,Buspar
renal/liver disease,Major,Buspar
glaucoma,Moderate,Buspar
liver disease,Moderate,Buspar
drug dependence,Moderate,Buspar
depression,Major,Buspirone
renal/liver disease,Major,Buspirone
glaucoma,Moderate,Buspirone
liver disease,Moderate,Buspirone
drug dependence,Moderate,Buspirone
bradyarrhythmia/AV block,Major,Bystolic
cardiogenic shock/hypotension,Major,Bystolic
CHF,Major,Bystolic
diabetes,Major,Bystolic
hypersensitivity,Major,Bystolic
ischemic heart disease,Major,Bystolic
PVD,Major,Bystolic
hepatic impairment,Major,Bystolic
cerebrovascular insufficiency,Moderate,Bystolic
glaucoma,Moderate,Bystolic
hyperlipidemia,Moderate,Bystolic
hyperthyroidism,Moderate,Bystolic
myasthenia gravis,Moderate,Bystolic
pheochromocytoma,Moderate,Bystolic
